1 = ['song1', 'song2', 'song3', 'song4', 'song5']
2 = ['song1', 'song2', 'song3', 'song4', 'song5']
3 = ['song1', 'song2', 'song3', 'song4', 'song5']
4 = ['song1', 'song2', 'song3', 'song4', 'song5']
5 = ['song1', 'song2', 'song3', 'song4', 'song5']
6 = ['song1', 'song2', 'song3', 'song4', 'song5']
7 = ['song1', 'song2', 'song3', 'song4', 'song5']
8 = ['song1', 'song2', 'song3', 'song4', 'song5']
9 = ['song1', 'song2', 'song3', 'song4', 'song5']
10 = ['song1', 'song2', 'song3', 'song4', 'song5']
11 = ['song1', 'song2', 'song3', 'song4', 'song5']
12 = ['song1', 'song2', 'song3', 'song4', 'song5']
13 = ['song1', 'song2', 'song3', 'song4', 'song5']
14 = ['song1', 'song2', 'song3', 'song4', 'song5']
15 = ['song1', 'song2', 'song3', 'song4', 'song5']
16 = ['song1', 'song2', 'song3', 'song4', 'song5']
17 = ['song1', 'song2', 'song3', 'song4', 'song5']
18 = ['song1', 'song2', 'song3', 'song4', 'song5']
19 = ['song1', 'song2', 'song3', 'song4', 'song5']
20 = ['song1', 'song2', 'song3', 'song4', 'song5']
21 = ['song1', 'song2', 'song3', 'song4', 'song5']
22 = ['song1', 'song2', 'song3', 'song4', 'song5']
23 = ['song1', 'song2', 'song3', 'song4', 'song5']
24 = ['song1', 'song2', 'song3', 'song4', 'song5']
25 = ['song1', 'song2', 'song3', 'song4', 'song5']
26 = ['song1', 'song2', 'song3', 'song4', 'song5']
27 = ['song1', 'song2', 'song3', 'song4', 'song5']
28 = ['song1', 'song2', 'song3', 'song4', 'song5']
29 = ['song1', 'song2', 'song3', 'song4', 'song5']
30 = ['song1', 'song2', 'song3', 'song4', 'song5']
31 = ['song1', 'song2', 'song3', 'song4', 'song5']
32 = ['song1', 'song2', 'song3', 'song4', 'song5']
33 = ['song1', 'song2', 'song3', 'song4', 'song5']
34 = ['song1', 'song2', 'song3', 'song4', 'song5']
35 = ['song1', 'song2', 'song3', 'song4', 'song5']
36 = ['song1', 'song2', 'song3', 'song4', 'song5']
37 = ['song1', 'song2', 'song3', 'song4', 'song5']
38 = ['song1', 'song2', 'song3', 'song4', 'song5']
39 = ['song1', 'song2', 'song3', 'song4', 'song5']
40 = ['song1', 'song2', 'song3', 'song4', 'song5']
41 = ['song1', 'song2', 'song3', 'song4', 'song5']
42 = ['song1', 'song2', 'song3', 'song4', 'song5']
43 = ['song1', 'song2', 'song3', 'song4', 'song5']
44 = ['song1', 'song2', 'song3', 'song4', 'song5']
45 = ['song1', 'song2', 'song3', 'song4', 'song5']
46 = ['song1', 'song2', 'song3', 'song4', 'song5']
47 = ['song1', 'song2', 'song3', 'song4', 'song5']
48 = ['song1', 'song2', 'song3', 'song4', 'song5']
49 = ['song1', 'song2', 'song3', 'song4', 'song5']
50 = ['song1', 'song2', 'song3', 'song4', 'song5']
